     17.0941      2.12635      1.37238
     17.0994      2.15069      1.37382
      17.102      2.16193      1.37471
     17.1037      2.17435      1.37867
     17.1062      2.18549      1.37021
     17.0535      2.28024      1.38539
      17.057      2.30289      1.39588
     17.0587      2.31475      1.39192
     17.0648       2.3376       1.3833
     17.0738      2.39775       1.3783
     17.0764      2.40781      1.37671
     17.0773      2.42064      1.37799
     17.0811      2.44184      1.38014
     17.0853       2.4666      1.38426
     17.1782      2.43041      1.38967
     17.1837      2.45325      1.39771
     17.1848      2.46481      1.40831
     17.1853       2.4795      1.42351
     17.1898      2.50433      1.45536
     17.2308      2.57633      1.49146
     17.2299      2.58829      1.50157
     17.2309       2.6138      1.53322
      17.232      2.62372      1.55145
     17.2315      2.63681      1.56521
     17.1388      2.61958      1.58327
     17.1366      2.64229      1.59644
     17.1349      2.65228      1.59594
     17.1345      2.66399      1.58925
     17.1343      2.68246      1.58051
     17.1358      2.69334       1.5744
     17.1648      2.69247      1.56779
     17.1632       2.7138      1.56239
     17.1635      2.72417      1.56053
     17.1639       2.7329      1.56183
     17.1647      2.74211      1.56361
     17.1459      2.73631      1.56309
     17.1455      2.75397      1.56032
     17.1474      2.76615      1.55814
     17.1468      2.77602      1.55736
     17.1484      2.78479      1.55551
      17.155      2.78823      1.54901
     17.1535      2.79933      1.54573
     17.1524      2.81791      1.54353
      17.151      2.83743      1.54434
     17.0913      2.89772      1.54149
     17.0919      2.90831      1.53706
     17.0947       2.9261       1.5314
     17.0932      2.94588      1.51133
      17.093      2.95411       1.5113
     17.1557      2.99003      1.50265
     17.1571      2.99835      1.49639
     17.1581      3.00837      1.49598
     17.1591      3.02572      1.49666
     17.1613      3.04702      1.50337
      17.206      3.03445      1.49581
     17.2093      3.04994      1.49748
     17.2128      3.06521      1.49457
     17.2144       3.1005      1.51381
     17.2141      3.13176      1.52912
     17.2142      3.14862      1.54028
     17.1507      3.22994      1.54152
     17.1512      3.24336      1.55456
     17.1519      3.28626      1.58246
     17.1517      3.30149      1.59517
     17.1546      3.31474      1.59915
     17.2166      3.30988      1.64176
     17.2155      3.32224      1.66211
     17.2128      3.33788      1.67842
     17.2079      3.36537       1.7057
     17.2193      3.42951      1.72649
     17.2157      3.44199      1.75059
     17.2044      3.47066      1.78884
     17.2003      3.48507      1.81268
     17.1989      3.50588      1.84356
     17.1717      3.55632      1.88941
     17.1609      3.59312       1.9285
     17.1547      3.60693      1.96761
     17.1477      3.62492      2.00053
     17.1322      3.65412      2.04666
     17.0882      3.60675      2.10335
     17.0789      3.62097      2.12984
     17.0686      3.63605      2.15001
     17.0523      3.66064       2.1768
     17.0331      3.68661       2.2036
     17.0097      3.73604      2.21737
     17.0007      3.74767      2.23804
      16.982      3.77331      2.27838
     16.9599      3.79623      2.32064
     16.9499      3.80705      2.34677
     16.9375      3.81933       2.3749
     16.8791      3.85129      2.39737
      16.854      3.87312      2.44725
     16.8294      3.89092      2.49222
     16.8158      3.89984      2.51824
     16.8031      3.90837      2.54698
     16.7235      3.94625      2.60464
     16.6383      3.83052      2.69836
     16.6382      3.83047      2.69141
     16.6081      3.84268      2.70008
     16.5973      3.84748      2.70658
     16.5777      3.81301      2.72216
     16.5517      3.82577         2.75
     16.5254      3.83214      2.77209
     16.5103      3.83775      2.78476
     16.4975      3.84421      2.80211
     16.4326      3.83317      2.82538
     16.4204      3.83667      2.83409
       16.39      3.84578      2.83898
      16.377      3.84819      2.83899
     16.3612      3.85361      2.83809
     16.3682      3.96056      2.83821
     16.3393      3.97053      2.83544
     16.3311      3.97399      2.83672
     16.3186      3.97901      2.83737
      16.307      3.98271      2.85145
     16.2481      3.91992      2.83199
     16.2291      3.93143      2.82219
      16.216      3.93509      2.81011
     16.2032      3.94184      2.80605
     16.2139      3.93876      2.73768
     16.2028      3.94866      2.71161
